Header1,Header2,Header3,Header4,Header5
=(1 + 2),=1,These are variables,
A note,
The font is red,
The font is 'Comic Sans MS',
The font is size 20,
The cell is green,
This line is repeated 3 times,
This line is repeated 3 times,
This line is repeated 3 times,
All borders,
,Top border,
Bottom border,
,Left border,
Right border,
,Top & right border,
Dashed border,Dotted border,Double border,
Solid border,Solid medium border,Solid thick border,
Left align,Center align,Right align,
Number format: currency,123456,
Number format: date,123456,
Number format: date_time,123456,
Number format: number,123456,
Number format: percent,123456,
Number format: text,123456,
Number format: time,123456,
Number format: scientific,123456,
